time/fps,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
296,0.05007234215736389,50.0,-22.407280519999993,128,760,0.0,38000,1.085438348352909,0.4922582507133484,6996,-3.585828185081482,0.0001,-35.7929630279541,,,
296,0.05007363110780716,50.0,-21.694791919999993,130,770,0.0,38600,0.6533137746155262,0.4848749041557312,7148,-3.4298408031463623,0.0001,-35.190945625305176,,,
295,0.050075821578502655,50.0,-21.64288212,131,780,0.0,39000,0.900701105594635,0.48006635159254074,7248,-3.5522549152374268,0.0001,-35.142537117004395,,,
295,0.050076812505722046,50.0,-21.166126629999994,133,790,0.0,39600,0.8199541941285133,0.47304771840572357,7396,-3.8182713985443115,0.0001,-35.44413948059082,,,
295,0.050080716609954834,50.0,-21.348641409999995,135,800,0.0,40000,0.9784047305583954,0.4683847054839134,7496,-3.8721945881843567,0.0001,-35.26802444458008,,,
295,0.050077974796295166,50.0,-21.62171489,137,810,0.0,40600,0.47876501083374023,0.4613829702138901,7648,-3.7883095741271973,0.0001,-34.96790313720703,,,
294,0.050077736377716064,50.0,-21.12899586,138,820,0.0,41000,0.3917638435959816,0.4567798152565956,7748,-3.6710413098335266,0.0001,-35.29055118560791,,,
294,0.05008438974618912,50.0,-21.337035449999995,141,830,0.0,41600,0.5992422327399254,0.450122132897377,7896,-3.9867480993270874,0.0001,-35.160094261169434,,,
294,0.05008426308631897,50.0,-21.52987666,142,840,0.0,42000,0.5043996199965477,0.44565246254205704,7996,-3.9658036828041077,0.0001,-35.42343711853027,,,
293,0.05008319020271301,50.0,-21.245864190000002,144,850,0.0,42600,0.5584466457366943,0.43897752463817596,8148,-4.184911489486694,0.0001,-35.09843730926514,,,
293,0.05008453130722046,50.0,-21.17058392,146,860,0.0,43000,0.2282995730638504,0.43462545424699783,8248,-4.2827945947647095,0.0001,-35.09354782104492,,,
293,0.05008500814437866,50.0,-22.522028320000004,148,870,0.0,43600,0.45593083277344704,0.42828237265348434,8396,-4.127877593040466,0.0001,-34.8568229675293,,,
293,0.05008966848254204,50.0,-22.880832619999996,149,880,0.0,44000,0.281073659658432,0.42402541637420654,8496,-4.209542751312256,0.0001,-34.74881935119629,,,
293,0.05009652301669121,50.0,-23.292361509999996,152,890,0.0,44600,0.3248894475400448,0.41768037527799606,8648,-4.318405985832214,0.0001,-34.695261001586914,,,
292,0.05010198801755905,50.0,-23.30724007,153,900,0.0,45000,0.5084540322422981,0.4135545417666435,8748,-4.236230850219727,0.0001,-34.36311340332031,,,
292,0.05010383576154709,50.0,-22.441137570000002,155,910,0.0,45600,0.3612125590443611,0.4075043797492981,8896,-4.260453581809998,0.0001,-34.479583740234375,,,
