time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,rollout/ep_len_mean,train/std,time/episodes,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
73442,857,-20.98620192,85,0.0,50.0,0.050035566091537476,1470,0.0018638755136635154,0.0001,-18.444960117340088,3.478278160095215,0.0023858696804381907,63440,,,
73942,863,-21.117481440000002,85,0.0,50.0,0.050025325268507004,1480,0.0017794044979382306,0.0001,-16.62575387954712,3.469078004360199,0.002406707382760942,63940,,,
74442,870,-20.79990081,85,0.0,50.0,0.05002717301249504,1490,0.0017004507535602897,0.0001,-15.164104461669922,3.47769832611084,0.000927470187889412,64440,,,
74942,876,-20.52207148,85,0.0,50.0,0.050013136118650436,1500,0.0016215771029237658,0.0001,-15.57261610031128,3.438794195652008,0.0016006779915187508,64940,,,
75442,882,-20.226546589999998,85,0.0,50.0,0.05000590905547142,1510,0.0015517085266765207,0.0001,-15.082133293151855,3.4940773248672485,0.0014581483555957675,65440,,,
75942,887,-20.36563751,85,0.0,50.0,0.049983881413936615,1520,0.001483612199081108,0.0001,-16.86944055557251,3.428094506263733,0.009904446196742356,65940,,,
76442,893,-20.32021569,85,0.0,50.0,0.04996991902589798,1530,0.0014205840125214309,0.0001,-15.286301136016846,3.4805736541748047,0.003706099189002998,66440,,,
76942,899,-20.781850439999992,85,0.0,50.0,0.049957603216171265,1540,0.0013594010670203716,0.0001,-13.4304940700531,3.443161964416504,0.0012421107821865007,66940,,,
77442,905,-20.53590024,85,0.0,50.0,0.0499308817088604,1550,0.0013011267292313278,0.0001,-13.277305722236633,3.502444326877594,0.0063237472786568105,67440,,,
77942,910,-21.091011939999998,85,0.0,50.0,0.049906909465789795,1560,0.0012463841994758695,0.0001,-11.470294117927551,3.449096143245697,0.0015813714417163283,67940,,,
78442,916,-21.58779724,85,0.0,50.0,0.04987291619181633,1570,0.0011942231794819236,0.0001,-14.059268474578857,3.5077165961265564,0.0030554335680790246,68440,,,
