rollout/success_rate,train/std,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/ent_coef,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,0.050127774477005005,34464,92,370,50.0,-21.05264825,690,24460,0.08620492927730083,0.011614207876846194,0.0001,-12.158777713775635,-8.985896825790405,,,
0.0,0.05012621730566025,34964,92,376,50.0,-21.21489907,700,24960,0.0820081140846014,0.00989921111613512,0.0001,-12.200365781784058,-8.446449756622314,,,
0.0,0.05012323707342148,35464,92,383,50.0,-21.221243849999997,710,25460,0.07801581360399723,0.012415803503245115,0.0001,-12.724860906600952,-7.879953145980835,,,
0.0,0.05012696608901024,35964,92,389,50.0,-21.559979790000003,720,25960,0.07421374507248402,0.009722061222419143,0.0001,-12.940767765045166,-7.364062070846558,,,
0.0,0.05012228339910507,36464,92,395,50.0,-21.755288430000004,730,26460,0.07059072889387608,0.009644346660934389,0.0001,-12.904366254806519,-6.854475259780884,,,
0.0,0.05012792348861694,36964,91,402,50.0,-21.5050708,740,26960,0.06715903989970684,0.005362318246625364,0.0001,-14.562310457229614,-6.488522052764893,,,
0.0,0.05013002082705498,37464,91,408,50.0,-21.741675909999998,750,27460,0.06388510949909687,0.006933701457455754,0.0001,-13.323854923248291,-6.022348165512085,,,
0.0,0.050132375210523605,37964,91,414,50.0,-22.430679229999996,760,27960,0.0607738783583045,0.008518228773027658,0.0001,-14.322429418563843,-5.586285710334778,,,
0.0,0.05013030022382736,38464,91,420,50.0,-22.394176439999995,770,28460,0.057815494015812874,0.004237509216181934,0.0001,-14.039259910583496,-5.136403322219849,,,
0.0,0.05012165755033493,38964,91,426,50.0,-22.523506219999998,780,28960,0.05499936919659376,0.016852195374667645,0.0001,-14.556079387664795,-4.713117241859436,,,
0.0,0.05013081431388855,39464,91,432,50.0,-22.513942540000006,790,29460,0.052332653664052486,0.01020665984833613,0.0001,-14.89785647392273,-4.332063794136047,,,
0.0,0.05013517662882805,39964,91,439,50.0,-21.995564850000004,800,29960,0.049788606353104115,0.012968955445103347,0.0001,-15.05402135848999,-3.9950366020202637,,,
,,40000,,,,,,29996,0.049608214758336544,0.016485660220496356,0.0001,-13.455121278762817,-3.920864522457123,-20.2165733,50.0,0.0
0.0,0.05013947933912277,40464,89,451,50.0,-22.133797870000002,810,30460,0.04736898932605982,0.003986398718552664,0.0001,-15.817546606063843,-3.626932382583618,,,
0.0,0.05014541745185852,40964,89,457,50.0,-22.07312296,820,30960,0.04505702294409275,0.0034263632842339575,0.0001,-15.304251432418823,-3.2869749069213867,,,
0.0,0.05013672262430191,41464,89,463,50.0,-22.395517339999998,830,31460,0.04286833666265011,0.0025503311189822853,0.0001,-14.938027143478394,-2.9231751561164856,,,
0.0,0.050135593861341476,41964,89,470,50.0,-22.65954409,840,31960,0.04078516457229853,0.010170925117563456,0.0001,-15.535038948059082,-2.6676799654960632,,,
