rollout/ep_rew_mean,train/std,rollout/ep_len_mean,time/episodes,rollout/success_rate,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,eval/success_rate,eval/mean_ep_length,eval/mean_reward
-22.754543209999998,0.05035001039505005,50.0,940,0.0,498,46925,94,-18.255208015441895,0.0001,36924,-0.2599000670015812,0.0024859339464455843,0.024882847908884287,,,
-22.740329680000006,0.05035416781902313,50.0,950,0.0,503,47425,94,-18.117059230804443,0.0001,37424,-0.08567123953253031,0.002579435327788815,0.02367252903059125,,,
-22.53711926,0.050357334315776825,50.0,960,0.0,509,47925,94,-19.260173320770264,0.0001,37924,0.14979462139308453,0.003037061367649585,0.022519534453749657,,,
-22.188622189999997,0.050365280359983444,50.0,970,0.0,515,48425,93,-18.528735160827637,0.0001,38424,0.243166945874691,0.002430681139230728,0.02142486209049821,,,
-22.351174219999997,0.05036509037017822,50.0,980,0.0,521,48925,93,-18.550459384918213,0.0001,38924,0.4304310455918312,0.0040203481039498,0.02038255613297224,,,
-22.2406069,0.05037758871912956,50.0,990,0.0,526,49425,93,-19.429322242736816,0.0001,39424,0.615705668926239,0.02709657314699143,0.019394888542592525,,,
-22.486665689999995,0.050380729138851166,50.0,1000,0.0,532,49925,93,-19.31037712097168,0.0001,39924,0.6986761093139648,0.13480649120174348,0.018452872522175312,,,
-22.304285560000004,0.05038540065288544,50.0,1010,0.0,538,50425,93,-20.375328540802002,0.0001,40424,0.8945359438657761,0.0026335439179092646,0.017549776006489992,,,
-20.94576686,0.050380002707242966,50.0,1020,0.0,544,50925,93,-19.362780570983887,0.0001,40924,1.0109882801771164,0.005357615795219317,0.01669540721923113,,,
-21.33673016,0.05039446800947189,50.0,1030,0.0,550,51425,93,-20.112239837646484,0.0001,41424,1.1341345012187958,0.0016747378977015615,0.015888595953583717,,,
-21.43958252,0.05039605498313904,50.0,1040,0.0,556,51925,93,-20.523505210876465,0.0001,41924,1.282771497964859,0.0028659123345278203,0.015116872731596231,,,
-21.58929682,0.05039723962545395,50.0,1050,0.0,562,52425,93,-20.404036045074463,0.0001,42424,1.4050380885601044,0.006201674725161865,0.014386713271960616,,,
-21.244848340000004,0.05040030926465988,50.0,1060,0.0,568,52925,93,-20.540661811828613,0.0001,42924,1.4862949550151825,0.0017252149409614503,0.013690519612282515,,,
-21.473413910000005,0.05040861293673515,50.0,1070,0.0,574,53425,93,-21.652292251586914,0.0001,43424,1.6571386456489563,0.0029988913447596133,0.013029767898842692,,,
-21.18429606,0.050398603081703186,49.63,1080,0.009999999776482582,579,53888,93,-21.977412700653076,0.0001,43884,1.7024354934692383,0.005630869069136679,0.012451127637177706,,,
-20.970185569999998,0.05040572211146355,49.63,1090,0.009999999776482582,584,54388,92,-21.545127391815186,0.0001,44384,1.8021300435066223,0.0028738463879562914,0.0118520213291049,,,
-21.412192609999998,0.05040643736720085,49.63,1100,0.009999999776482582,590,54888,92,-22.944404125213623,0.0001,44884,1.8837735056877136,0.0034232776961289346,0.011282437015324831,,,
-21.673212069999998,0.05040627345442772,49.63,1110,0.009999999776482582,596,55388,92,-21.925745010375977,0.0001,45384,1.9752967357635498,0.0019265321316197515,0.010742514627054334,,,
-21.684637849999998,0.05040520057082176,49.63,1120,0.009999999776482582,602,55888,92,-22.56859302520752,0.0001,45884,2.0964571833610535,0.11240427853772417,0.01022862084209919,,,
-21.05500517,0.050401460379362106,49.63,1130,0.009999999776482582,608,56388,92,-21.325806617736816,0.0001,46384,2.2000492215156555,0.003513069183100015,0.009738639695569873,,,
-20.92835697,0.05040975660085678,49.63,1140,0.009999999776482582,614,56888,92,-21.44486141204834,0.0001,46884,2.227217674255371,0.005299220327287912,0.009273078525438905,,,
-20.879631379999996,0.05041229724884033,49.63,1150,0.009999999776482582,619,57388,92,-19.947420597076416,0.0001,47384,2.296669363975525,0.002315803139936179,0.008830939419567585,,,
-20.977954290000003,0.050413064658641815,49.63,1160,0.009999999776482582,625,57888,92,-21.647421836853027,0.0001,47884,2.3682802319526672,0.005225916858762503,0.008413230301812291,,,
-21.49677083,0.05041344091296196,49.63,1170,0.009999999776482582,631,58388,92,-21.145423412322998,0.0001,48384,2.427495777606964,0.0027596993604674935,0.008017568849027157,,,
-21.26041702,0.05040721222758293,50.0,1180,0.0,637,58888,92,-19.528337001800537,0.0001,48884,2.4458374977111816,0.002030968142207712,0.007637273520231247,,,
-21.35372168,0.05040106922388077,50.0,1190,0.0,643,59388,92,-19.816691398620605,0.0001,49384,2.5064682960510254,0.08092942112125456,0.0072762694908306,,,
-20.946086440000002,0.050408508628606796,50.0,1200,0.0,649,59888,92,-21.720224380493164,0.0001,49884,2.6123303174972534,0.0013866530789528042,0.006934295641258359,,,
,,,,,,60000,,-19.281020641326904,0.0001,49996,2.633945643901825,0.005376567656639963,0.006859636399894953,0.0,50.0,-22.646147300000003
