rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
50.0,-20.8921499,1260,0.0,63000,223,282,0.050217535346746445,-26.701045989990234,0.2642771601676941,0.0001,-5.618368148803711,13249,0.09038195013999939,,,
50.0,-20.60014545,1270,0.0,63600,225,282,0.05022066831588745,-26.743789672851562,0.2603611648082733,0.0001,-6.691129207611084,13399,0.07235167920589447,,,
50.0,-20.416522,1280,0.0,64000,226,282,0.05021766945719719,-26.346717834472656,0.25779902935028076,0.0001,-6.768345832824707,13499,0.06323809921741486,,,
50.0,-20.52615964,1290,0.0,64600,229,281,0.05021938681602478,-26.303478240966797,0.25396400690078735,0.0001,-7.580235481262207,13649,0.07888178527355194,,,
50.0,-20.49584476,1300,0.0,65000,230,281,0.05021847411990166,-26.358234405517578,0.25143706798553467,0.0001,-8.042750358581543,13749,0.14394629001617432,,,
50.0,-20.45989302,1310,0.0,65600,232,281,0.050227873027324677,-25.54688262939453,0.24771137535572052,0.0001,-6.739009857177734,13899,0.07450816035270691,,,
50.0,-20.901149919999998,1320,0.0,66000,234,281,0.050225213170051575,-25.492517471313477,0.2452671378850937,0.0001,-7.1857709884643555,13999,0.05821356922388077,,,
50.0,-21.149897239999994,1330,0.0,66600,236,281,0.05022711306810379,-25.206769943237305,0.2416335791349411,0.0001,-7.1955461502075195,14149,0.06300251185894012,,,
50.0,-21.297907690000002,1340,0.0,67000,238,281,0.05022710561752319,-24.96713638305664,0.23921623826026917,0.0001,-6.612720489501953,14249,0.15183806419372559,,,
50.0,-21.511317729999995,1350,0.0,67600,240,280,0.050231944769620895,-24.990299224853516,0.2356477677822113,0.0001,-7.3448662757873535,14399,0.037877775728702545,,,
50.0,-20.973704400000003,1360,0.0,68000,242,280,0.05023064464330673,-24.46006202697754,0.23329882323741913,0.0001,-6.6839447021484375,14499,0.10144414007663727,,,
50.0,-20.970823290000002,1370,0.0,68600,244,280,0.05023154616355896,-24.114990234375,0.22981348633766174,0.0001,-7.656981468200684,14649,0.06775590032339096,,,
50.0,-20.752462060000003,1380,0.0,69000,245,280,0.050231918692588806,-24.093549728393555,0.22751504182815552,0.0001,-7.492328643798828,14749,0.03878771513700485,,,
50.0,-21.136117319999997,1390,0.0,69600,248,280,0.05023515224456787,-23.64771270751953,0.22413671016693115,0.0001,-7.172037124633789,14899,0.05243467539548874,,,
50.0,-21.120255600000004,1400,0.0,70000,249,280,0.05023769661784172,-23.482189178466797,0.22193914651870728,0.0001,-7.016188621520996,14999,0.05462884157896042,,,
50.0,-21.19376684,1410,0.0,70600,251,280,0.050244174897670746,-23.113834381103516,0.21864823997020721,0.0001,-7.959811687469482,15149,0.065711110830307,,,
50.0,-21.01614224,1420,0.0,71000,253,280,0.05024190992116928,-23.179780960083008,0.21648195385932922,0.0001,-7.398199081420898,15249,0.03468891233205795,,,
50.0,-21.248124699999998,1430,0.0,71600,255,279,0.05023932456970215,-22.469684600830078,0.21324895322322845,0.0001,-6.883105278015137,15399,0.04273784160614014,,,
50.0,-21.354770470000002,1440,0.0,72000,257,279,0.05024257302284241,-22.515342712402344,0.21112118661403656,0.0001,-7.810548305511475,15499,0.04083146154880524,,,
50.0,-21.326304959999998,1450,0.0,72600,259,279,0.0502408891916275,-22.21710968017578,0.20797857642173767,0.0001,-7.835239410400391,15649,0.03467030078172684,,,
50.0,-21.670778499999997,1460,0.0,73000,261,279,0.050244253128767014,-22.216861724853516,0.2059105932712555,0.0001,-8.705246925354004,15749,0.04087726026773453,,,
50.0,-21.88190235,1470,0.0,73600,263,279,0.050244610756635666,-21.618701934814453,0.20282936096191406,0.0001,-7.369420051574707,15899,0.04640556871891022,,,
50.0,-22.01543823,1480,0.0,74000,265,279,0.05024631321430206,-21.519733428955078,0.20081593096256256,0.0001,-7.322067737579346,15999,0.02859421819448471,,,
50.0,-21.526051670000005,1490,0.0,74600,267,278,0.050246741622686386,-21.43173599243164,0.19783388078212738,0.0001,-8.532938003540039,16149,0.042737532407045364,,,
50.0,-21.57146905,1500,0.0,75000,268,278,0.05025136470794678,-21.272287368774414,0.19587190449237823,0.0001,-8.14840030670166,16249,0.032073117792606354,,,
50.0,-21.25800657,1510,0.0,75600,271,278,0.050253987312316895,-20.830785751342773,0.19295941293239594,0.0001,-7.450570583343506,16399,0.04738973081111908,,,
50.0,-21.09214841,1520,0.0,76000,272,278,0.05025963485240936,-20.673583984375,0.19103340804576874,0.0001,-8.172449111938477,16499,0.0515085905790329,,,
50.0,-20.793698850000002,1530,0.0,76600,275,278,0.05025763437151909,-20.378530502319336,0.18820495903491974,0.0001,-8.023377418518066,16649,0.029451420530676842,,,
50.0,-20.52510859,1540,0.0,77000,276,278,0.05025750398635864,-20.190027236938477,0.1863369196653366,0.0001,-7.752712726593018,16749,0.31735002994537354,,,
50.0,-20.351836919999997,1550,0.0,77600,279,278,0.050263844430446625,-20.094776153564453,0.18356983363628387,0.0001,-8.642804145812988,16899,0.028445400297641754,,,
50.0,-20.434553360000002,1560,0.0,78000,280,278,0.05026022344827652,-19.831188201904297,0.18174391984939575,0.0001,-8.735357284545898,16999,0.035980746150016785,,,
50.0,-20.02950827,1570,0.0,78600,282,277,0.05026128143072128,-19.484420776367188,0.17904454469680786,0.0001,-8.527694702148438,17149,0.024480966851115227,,,
50.0,-20.145858999999998,1580,0.0,79000,284,277,0.05026087164878845,-19.343955993652344,0.17726685106754303,0.0001,-8.51930046081543,17249,0.024968143552541733,,,
50.0,-20.45285328,1590,0.0,79600,286,277,0.05026373267173767,-19.05481719970703,0.17464667558670044,0.0001,-9.213101387023926,17399,0.023583224043250084,,,
,,,,80000,,,,-18.87148666381836,0.17291943728923798,0.0001,-9.02148151397705,17499,0.04711046814918518,50.0,-20.756651249999997,0.0
50.0,-20.35337309,1600,0.0,80000,294,271,0.0502685010433197,,,,,,,,,
49.72,-20.30370768,1610,0.009999999776482582,80488,296,271,0.05026700347661972,-18.666187286376953,0.1708206981420517,0.0001,-8.97706413269043,17621,0.02340385690331459,,,
49.72,-20.409689,1620,0.009999999776482582,81000,298,271,0.05026458948850632,-18.51557159423828,0.16864155232906342,0.0001,-8.942816734313965,17749,0.028144512325525284,,,
49.72,-20.63082757,1630,0.009999999776482582,81488,299,271,0.05026404187083244,-18.073110580444336,0.16659821569919586,0.0001,-8.346612930297852,17871,0.02762708254158497,,,
49.72,-20.89787848,1640,0.009999999776482582,82000,301,271,0.0502733513712883,-17.955787658691406,0.16448573768138885,0.0001,-9.133188247680664,17999,0.021751105785369873,,,
49.72,-21.003577359999998,1650,0.009999999776482582,82488,303,271,0.05027449131011963,-17.714942932128906,0.16249415278434753,0.0001,-7.871072292327881,18121,0.04582272469997406,,,
49.72,-20.54549862,1660,0.009999999776482582,83000,305,271,0.050272904336452484,-17.604877471923828,0.16043156385421753,0.0001,-9.190244674682617,18249,0.022541407495737076,,,
49.72,-20.77701274,1670,0.009999999776482582,83488,307,271,0.05027764290571213,-17.30303955078125,0.15849614143371582,0.0001,-8.723016738891602,18371,0.026534464210271835,,,
49.72,-20.8534595,1680,0.009999999776482582,84000,309,271,0.05027912184596062,-17.196189880371094,0.15648944675922394,0.0001,-9.425905227661133,18499,0.01793183758854866,,,
