rollout/success_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/std,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0.0,530,50.0,-22.05375523,26478,250,105,0.05019333213567734,16476,0.07935710530728102,0.0001,-7.7037694454193115,-21.363743782043457,0.1914515122771263,,,
0.0,540,50.0,-21.87690891,26978,256,105,0.05021144077181816,16976,0.042537858709692955,0.0001,-8.396075963973999,-20.580928802490234,0.18214276805520058,,,
0.0,550,50.0,-21.969148320000002,27478,262,104,0.05021145939826965,17476,0.20409231632947922,0.0001,-9.393292665481567,-19.781736373901367,0.17327405884861946,,,
0.0,560,50.0,-22.324056610000007,27978,268,104,0.05022624135017395,17976,0.0410516238771379,0.0001,-8.683592557907104,-18.743820190429688,0.16485029458999634,,,
0.0,570,50.0,-22.250125220000005,28478,273,103,0.050224822014570236,18476,0.02341489726677537,0.0001,-9.518010377883911,-17.880081176757812,0.15683406963944435,,,
0.0,580,50.0,-22.58381833,28978,279,103,0.050231318920850754,18976,0.023940605577081442,0.0001,-9.573256015777588,-17.092358112335205,0.1491827517747879,,,
0.0,590,50.0,-22.147975069999998,29478,285,103,0.05022557079792023,19476,0.024963763542473316,0.0001,-9.582286357879639,-16.18229913711548,0.14195506274700165,,,
0.0,600,50.0,-21.77543603,29978,291,102,0.05022590979933739,19976,0.0759727731347084,0.0001,-9.608266353607178,-15.412396669387817,0.13504255935549736,,,
0.0,610,50.0,-21.94662597999999,30478,296,102,0.05023646354675293,20476,0.024674030486494303,0.0001,-9.836961030960083,-14.571770668029785,0.12848962470889091,,,
0.0,620,50.0,-22.16422778,30978,302,102,0.05023753270506859,20976,0.053682934027165174,0.0001,-11.371613502502441,-13.929092407226562,0.12225783988833427,,,
0.0,630,50.0,-21.955780820000005,31478,308,101,0.05024135857820511,21476,0.05189701821655035,0.0001,-10.816584348678589,-13.027580499649048,0.11630574986338615,,,
0.0,640,50.0,-21.35741485,31978,314,101,0.05023890733718872,21976,0.05875352630391717,0.0001,-11.238408088684082,-12.325008869171143,0.1106615923345089,,,
0.0,650,50.0,-21.309518730000004,32478,320,101,0.050243645906448364,22476,0.02453993307426572,0.0001,-11.067852258682251,-11.661067008972168,0.10529200173914433,,,
0.0,660,50.0,-21.250877310000007,32978,326,101,0.05024401471018791,22976,0.027930354932323098,0.0001,-11.175607442855835,-11.088855981826782,0.10016218386590481,,,
0.0,670,50.0,-20.746845660000005,33478,332,100,0.05024581402540207,23476,0.17446322785690427,0.0001,-11.29890251159668,-10.453520774841309,0.09529590234160423,,,
0.0,680,50.0,-20.365070049999996,33978,337,100,0.050243914127349854,23976,0.07630549557507038,0.0001,-11.841265439987183,-9.76710820198059,0.09065466746687889,,,
0.0,690,50.0,-20.59444805,34478,343,100,0.05024806782603264,24476,0.011990259634330869,0.0001,-12.126445293426514,-9.202086687088013,0.08623597212135792,,,
0.0,700,50.0,-20.979797309999995,34978,349,100,0.05025479197502136,24976,0.016476609278470278,0.0001,-12.612744569778442,-8.66115689277649,0.08204949460923672,,,
0.0,710,50.0,-21.3069836,35478,355,99,0.050261855125427246,25476,0.02265275875106454,0.0001,-12.247842788696289,-8.113705396652222,0.07806608267128468,,,
0.0,720,50.0,-21.26593994,35978,361,99,0.05027161166071892,25976,0.008739807410165668,0.0001,-12.749156713485718,-7.555834889411926,0.0742823388427496,,,
0.0,730,50.0,-21.350616629999994,36478,367,99,0.050273966044187546,26476,0.010960006853565574,0.0001,-12.784520626068115,-7.005391478538513,0.07066000811755657,,,
0.0,740,50.0,-21.663800560000006,36978,373,99,0.05026660114526749,26976,0.023888069204986095,0.0001,-12.859596014022827,-6.513436675071716,0.06721697561442852,,,
0.0,750,50.0,-21.599068779999996,37478,379,98,0.0502740852534771,27476,0.017238331492990255,0.0001,-12.92485785484314,-6.1495585441589355,0.06394673138856888,,,
0.0,760,50.0,-21.527688170000005,37978,384,98,0.05027913302183151,27976,0.008275474072434008,0.0001,-14.090452909469604,-5.701279878616333,0.060843177139759064,,,
0.0,770,50.0,-22.156841150000005,38478,390,98,0.05028149485588074,28476,0.008305349620059133,0.0001,-13.308104515075684,-5.212229371070862,0.05788664985448122,,,
0.0,780,50.0,-22.01051728,38978,396,98,0.05028009042143822,28976,0.03245863597840071,0.0001,-14.482573986053467,-4.921677112579346,0.05507292319089174,,,
0.0,790,50.0,-21.86271834,39478,402,98,0.05028378218412399,29476,0.005991334328427911,0.0001,-14.028433322906494,-4.323851227760315,0.05240525212138891,,,
0.0,800,50.0,-22.21504638,39978,408,97,0.050286464393138885,29976,0.07474662101594731,0.0001,-14.7970712184906,-4.075440585613251,0.04986087325960398,,,
,,,,40000,,,,29996,0.018996187369339168,0.0001,-14.893497228622437,-4.065510332584381,0.04976067040115595,-20.860949050000002,50.0,0.0
0.0,810,50.0,-21.877717890000003,40478,419,96,0.05028792470693588,30476,0.008489629253745079,0.0001,-15.153348445892334,-3.694579303264618,0.047426133416593075,,,
0.0,820,50.0,-21.59384109,40978,425,96,0.050289593636989594,30976,0.007995000807568431,0.0001,-14.633848905563354,-3.3519107699394226,0.04512087069451809,,,
0.0,830,50.0,-21.603632619999996,41478,431,96,0.05028153210878372,31476,0.08388830977492034,0.0001,-15.04562258720398,-3.0048897862434387,0.04292428866028786,,,
0.0,840,50.0,-21.73981947,41978,437,95,0.05028293654322624,31976,0.033387379022315145,0.0001,-16.015065670013428,-2.681797206401825,0.04084419924765825,,,
0.0,850,50.0,-22.13151311,42478,443,95,0.0502777025103569,32476,0.008928556635510176,0.0001,-15.552600622177124,-2.355586528778076,0.03885483182966709,,,
0.0,860,50.0,-22.247899630000006,42978,449,95,0.0502820760011673,32976,0.014547321712598205,0.0001,-16.05557656288147,-2.113836705684662,0.036967053078114986,,,
0.0,870,50.0,-22.048082149999995,43478,454,95,0.050288744270801544,33476,0.016766152111813426,0.0001,-16.90157437324524,-1.855490654706955,0.03516817558556795,,,
0.0,880,50.0,-21.97466632,43978,460,95,0.0502915196120739,33976,0.012482101970817894,0.0001,-16.277394771575928,-1.5073723196983337,0.03345450293272734,,,
0.0,890,50.0,-22.48187964,44478,466,95,0.05030291900038719,34476,0.01171897305175662,0.0001,-17.143336057662964,-1.374741107225418,0.031824798323214054,,,
0.0,900,50.0,-22.06937766,44978,472,95,0.05030646175146103,34976,0.004678407800383866,0.0001,-17.184199333190918,-1.074947029352188,0.030272428411990404,,,
0.0,910,50.0,-22.01836037,45478,478,95,0.05030782148241997,35476,0.008594765909947455,0.0001,-16.343685150146484,-0.8534204214811325,0.028799982741475105,,,
0.0,920,50.0,-21.887718559999993,45978,484,94,0.050300728529691696,35976,0.0029378976905718446,0.0001,-17.112959384918213,-0.6464930772781372,0.027401669416576624,,,
0.0,930,50.0,-21.99927533,46478,490,94,0.050303976982831955,36476,0.009638819610700011,0.0001,-18.552888870239258,-0.4490715116262436,0.026070900727063417,,,
0.0,940,50.0,-21.954478650000002,46978,496,94,0.05031053349375725,36976,0.005487705202540383,0.0001,-17.890435218811035,-0.2059834823012352,0.02480363706126809,,,
0.009999999776482582,950,49.93,-21.534495960000005,47471,502,94,0.05031202360987663,37468,0.0052990150870755315,0.0001,-18.6787052154541,-0.02039295295253396,0.02361545991152525,,,
0.009999999776482582,960,49.93,-21.6631199,47971,507,94,0.050314657390117645,37968,0.004049509909236804,0.0001,-17.79195261001587,0.1961509082466364,0.022465665359050035,,,
0.009999999776482582,970,49.93,-21.86347527,48471,513,94,0.05031882971525192,38468,0.0042466328595764935,0.0001,-17.576361179351807,0.3502082824707031,0.0213723829947412,,,
0.009999999776482582,980,49.93,-21.943213080000007,48971,519,94,0.05033523589372635,38968,0.0021967812499497086,0.0001,-19.92479705810547,0.4658867120742798,0.020337573252618313,,,
0.009999999776482582,990,49.93,-21.44326251,49471,525,94,0.05033552646636963,39468,0.005114768340718001,0.0001,-19.645233154296875,0.6231423169374466,0.019347996450960636,,,
0.009999999776482582,1000,49.93,-21.555755320000003,49971,531,94,0.050326671451330185,39968,0.003922640171367675,0.0001,-17.811665058135986,0.837445855140686,0.018406495451927185,,,
0.009999999776482582,1010,49.93,-21.39488944,50471,536,94,0.0503244623541832,40468,0.005561634839978069,0.0001,-21.213263034820557,0.9448019713163376,0.01751130074262619,,,
0.009999999776482582,1020,49.93,-21.33777907,50971,542,93,0.050337255001068115,40968,0.0015636739262845367,0.0001,-20.693817615509033,1.1272058188915253,0.016661215107887983,,,
0.009999999776482582,1030,49.93,-21.446876579999998,51471,548,93,0.050340406596660614,41468,0.0065745682222768664,0.0001,-19.645403385162354,1.2654945254325867,0.015849711373448372,,,
0.009999999776482582,1040,49.93,-21.099952710000004,51971,554,93,0.05033690482378006,41968,0.003946231619920582,0.0001,-20.636796474456787,1.353764683008194,0.015076765790581703,,,
